"attachment_id","tender_id","filename","url"
"ATT-TEND-1000-1","TEND-1000","technical_specs.pdf","https://example.com/docs/TEND-1000/specs.pdf"
"ATT-TEND-1001-1","TEND-1001","technical_specs.pdf","https://example.com/docs/TEND-1001/specs.pdf"
"ATT-TEND-1002-1","TEND-1002","technical_specs.pdf","https://example.com/docs/TEND-1002/specs.pdf"
"ATT-TEND-1003-1","TEND-1003","technical_specs.pdf","https://example.com/docs/TEND-1003/specs.pdf"
"ATT-TEND-1004-1","TEND-1004","technical_specs.pdf","https://example.com/docs/TEND-1004/specs.pdf"
"ATT-TEND-1005-1","TEND-1005","technical_specs.pdf","https://example.com/docs/TEND-1005/specs.pdf"
"ATT-TEND-1006-1","TEND-1006","technical_specs.pdf","https://example.com/docs/TEND-1006/specs.pdf"
"ATT-TEND-1007-1","TEND-1007","technical_specs.pdf","https://example.com/docs/TEND-1007/specs.pdf"
"ATT-TEND-1008-1","TEND-1008","technical_specs.pdf","https://example.com/docs/TEND-1008/specs.pdf"
"ATT-TEND-1009-1","TEND-1009","technical_specs.pdf","https://example.com/docs/TEND-1009/specs.pdf"
"ATT-TEND-1010-1","TEND-1010","technical_specs.pdf","https://example.com/docs/TEND-1010/specs.pdf"
"ATT-TEND-1011-1","TEND-1011","technical_specs.pdf","https://example.com/docs/TEND-1011/specs.pdf"
"ATT-TEND-1012-1","TEND-1012","technical_specs.pdf","https://example.com/docs/TEND-1012/specs.pdf"
"ATT-TEND-1013-1","TEND-1013","technical_specs.pdf","https://example.com/docs/TEND-1013/specs.pdf"
"ATT-TEND-1014-1","TEND-1014","technical_specs.pdf","https://example.com/docs/TEND-1014/specs.pdf"
"ATT-TEND-1015-1","TEND-1015","technical_specs.pdf","https://example.com/docs/TEND-1015/specs.pdf"
"ATT-TEND-1016-1","TEND-1016","technical_specs.pdf","https://example.com/docs/TEND-1016/specs.pdf"
"ATT-TEND-1017-1","TEND-1017","technical_specs.pdf","https://example.com/docs/TEND-1017/specs.pdf"
"ATT-TEND-1018-1","TEND-1018","technical_specs.pdf","https://example.com/docs/TEND-1018/specs.pdf"
"ATT-TEND-1019-1","TEND-1019","technical_specs.pdf","https://example.com/docs/TEND-1019/specs.pdf"
"ATT-TEND-1020-1","TEND-1020","technical_specs.pdf","https://example.com/docs/TEND-1020/specs.pdf"
"ATT-TEND-1021-1","TEND-1021","technical_specs.pdf","https://example.com/docs/TEND-1021/specs.pdf"
"ATT-TEND-1022-1","TEND-1022","technical_specs.pdf","https://example.com/docs/TEND-1022/specs.pdf"
"ATT-TEND-1023-1","TEND-1023","technical_specs.pdf","https://example.com/docs/TEND-1023/specs.pdf"
"ATT-TEND-1024-1","TEND-1024","technical_specs.pdf","https://example.com/docs/TEND-1024/specs.pdf"
"ATT-TEND-1025-1","TEND-1025","technical_specs.pdf","https://example.com/docs/TEND-1025/specs.pdf"
"ATT-TEND-1026-1","TEND-1026","technical_specs.pdf","https://example.com/docs/TEND-1026/specs.pdf"
"ATT-TEND-1027-1","TEND-1027","technical_specs.pdf","https://example.com/docs/TEND-1027/specs.pdf"
"ATT-TEND-1028-1","TEND-1028","technical_specs.pdf","https://example.com/docs/TEND-1028/specs.pdf"
"ATT-TEND-1029-1","TEND-1029","technical_specs.pdf","https://example.com/docs/TEND-1029/specs.pdf"
"ATT-TEND-1030-1","TEND-1030","technical_specs.pdf","https://example.com/docs/TEND-1030/specs.pdf"
"ATT-TEND-1031-1","TEND-1031","technical_specs.pdf","https://example.com/docs/TEND-1031/specs.pdf"
"ATT-TEND-1032-1","TEND-1032","technical_specs.pdf","https://example.com/docs/TEND-1032/specs.pdf"
"ATT-TEND-1033-1","TEND-1033","technical_specs.pdf","https://example.com/docs/TEND-1033/specs.pdf"
"ATT-TEND-1034-1","TEND-1034","technical_specs.pdf","https://example.com/docs/TEND-1034/specs.pdf"
"ATT-TEND-1035-1","TEND-1035","technical_specs.pdf","https://example.com/docs/TEND-1035/specs.pdf"
"ATT-TEND-1036-1","TEND-1036","technical_specs.pdf","https://example.com/docs/TEND-1036/specs.pdf"
"ATT-TEND-1037-1","TEND-1037","technical_specs.pdf","https://example.com/docs/TEND-1037/specs.pdf"
"ATT-TEND-1038-1","TEND-1038","technical_specs.pdf","https://example.com/docs/TEND-1038/specs.pdf"
"ATT-TEND-1039-1","TEND-1039","technical_specs.pdf","https://example.com/docs/TEND-1039/specs.pdf"
"ATT-TEND-1040-1","TEND-1040","technical_specs.pdf","https://example.com/docs/TEND-1040/specs.pdf"
"ATT-TEND-1041-1","TEND-1041","technical_specs.pdf","https://example.com/docs/TEND-1041/specs.pdf"
"ATT-TEND-1042-1","TEND-1042","technical_specs.pdf","https://example.com/docs/TEND-1042/specs.pdf"
"ATT-TEND-1043-1","TEND-1043","technical_specs.pdf","https://example.com/docs/TEND-1043/specs.pdf"
"ATT-TEND-1044-1","TEND-1044","technical_specs.pdf","https://example.com/docs/TEND-1044/specs.pdf"
